Term,Occurrence (ead_ID),Tag,Collection,Context
Anishnaabe,umich-bhl-2018025,scopecontent,the John P. Murphy collection,"Researchers should note that the collection includes materials depicting Anishnaabe peoples, families, homes, and culture from a white colonial lens."
Burial,umich-bhl-85831,bioghist,Joseph Beal Steere Papers,On the Island of Marajo he excavated huge prehistoric burial mounds.
Burial,umich-bhl-85189,bioghist,Amos R. Green Papers,"He threw himself, too, into the practice of archaeology, excavating burial mounds and surveying construction sites."
Burials,umich-bhl-2018025,bioghist,the John P. Murphy collection,"The location is a sacred site for the Anishinaabe, a place for burials and worship, which was seen as a curiosity and tourist attraction by white visitors."
Burials,umich-bhl-0383,subjects,George R. Fox (1880-1963) Papers,Archaeology.; Mounds; Archaeology.; Mounds (Burials)
Captive,umich-bhl-89405,bioghist,"Robert M. Warner Papers, 1945-2007",By 1983 it had become clear to Warner that NARS could no longer remain a captive of GSA if it was to be an effective organization.
Chief,umich-bhl-2020007,scopecontent,the Rick Snyder papers.,"Of note are the Appointments files regarding emergency managers in various Michigan cities, Chief of Staff materials on public health policy, and the Legal Division materials related to the state's interactions with Michigan’s Native American tribes."
Chief,umich-bhl-8924,bioghist,William G. Milliken Papers," Although chief executive during the deepest economic crisis experienced in Michigan since the Depression, Governor Milliken was generally popular among both the people of the state and his political peers."
Chief,umich-bhl-85926,scopecontent,the Chauncy Bush minute book,"Harris, and delegations of Sioux and Sauk-Fox Indians from along the Mississippi River, including the Sauk-Fox chief Keokuk."
Chief,umich-bhl-2014150,bioghist,"Carl M. Levin papers, 1938-2015.",He also served as special assistant attorney general for the state of Michigan and chief appellate defender for the city of Detroit (1968-1969).
Chief,No EAD ID,titleproper,"the Ka-na-pi-ma [graphic] : an Ottawa chief / drawn, printed &amp; coloured at J. T. Bowen's lithographic establishment, No. 94, Walnut Street.","the Ka-na-pi-ma [graphic] : an Ottawa chief / drawn, printed &amp; coloured at J."
Chief,umich-bhl-9940,scopecontent,"James J. Blanchard Papers, 1982-2002","This is manifest in the myriad array of units heavily reliant on the Issues Development Office for their own operations; the Chief of Staff, Executive Assistants, Correspondence, Government Relations, Legal, and Press Offices all were in daily contact with Issues."
Chief,umich-bhl-9940,scopecontent,"James J. Blanchard Papers, 1982-2002"," The efforts of the Chief of Staff to facilitate frictionless functioning of state governance were augmented by able deputies, competent staff, and a cadre of Executive Assistants."
Chief,umich-bhl-9940,scopecontent,"James J. Blanchard Papers, 1982-2002",One finds that roles filled by a chief of staff sometimes devolved to an executive assistant or to a staff member in the Legal or Government Relations Office.
Chief,umich-bhl-9940,scopecontent,"James J. Blanchard Papers, 1982-2002","Blanchard, as Governor of Michigan, was the chief executive of the state."
Chief,umich-bhl-9940,abstract,"James J. Blanchard Papers, 1982-2002","These series are chief of staff/executive assistants, correspondence office, government relations, issues development, legal department, operators, personnel, press office, Upper Peninsula office, Washington office, Lansing residence, and political and campaign files."
Chief,umich-bhl-2013030,scopecontent,"Glen Sheppard Papers, 1940s-2010","These agencies include government bodies devoted to conservation issues, chief among which is the DNR (Department of Natural Resources)."
Chief,umich-bhl-861078,bioghist,"Mary Shurtleff collection, 1848-1915 (scattered dates)","In the late 1840s, several Ottawa pooled their resources and gave their chief, Joseph Nawimashkote ""full power to purchase land for use at the cross, that we may own it in common"" (Shurtleff, 1963, p."
Chief,umich-bhl-850,bioghist,John and Leni Sinclair Papers,"Sinclair served as Arts Editor and later as Editor-in-chief of the Detroit <title render=""italic"">Sun</title> (moved from Ann Arbor) until publication was suspended in October 1976."
Chief,umich-bhl-850,bioghist,John and Leni Sinclair Papers," Sinclair also established his own independent record label, Total Energy Records, along with a production company called Big Chief Productions."
Chief,No EAD ID,titleproper,"the Ka-na-pi-ma [graphic] : an Ottawa chief / drawn, printed &amp; coloured at J. T. Bowen's lithographic establishment, No. 94, Walnut Street.","the Ka-na-pi-ma [graphic] : an Ottawa chief / drawn, printed &amp; coloured at J."
Chief,umich-bhl-851362,persnames,"Emerson Frank Greenman Papers, 1888-1984 (bulk dates, 1924-1972)","Greenman, Emerson Frank, 1895-1973; Pontiac, Ottawa Chief, -1769; Greenman, Emerson Frank, 1895-1973"
Chief,umich-bhl-85926,persnames,the Chauncy Bush minute book,"Bush, Chauncy.; Harris, Carey A.; Keokuk, Sauk Chief, 1780-1840; Poinsett, Joel Roberts, 1779-1851"
Chief,umich-bhl-9940,scopecontent,"James J. Blanchard Papers, 1982-2002", The Chief of Staff had the primary responsibility for seeing to the efficient functioning of the executive office of the Governor.
Chief,umich-bhl-2020007,bioghist,the Rick Snyder papers.,"He served as president and chief operating officer from 1996-1997, and a board member from 1997 – 2007  During this period, Gateway became a Fortune 500 Company growing from 600 people to 13,000 and $600mm in revenue to $6 billion."
Chief,umich-bhl-85243,bioghist,"W. Wallace Kent papers, 1954-1973","Judge Kent was appointed as Chief Judge of the Western District of Michigan in 1962, and retained that position until 1970, when he was appointed to the Sixth Circuit Court of Appeals."
Chief,umich-bhl-8667,bioghist,John B. Swainson Papers,"Swainson lost, and contributing to his defeat, in addition to Romney's popularity, were the state's continuing financial woes and the fact that the Michigan's chief executive had been a Democrat since 1948."
Chief,No EAD ID,bioghist,the Nauke-Chig-Um-Ie photograph collection.,"Probably Nau-Qua-Chic-A-Ming, Ojibwa chief."
Chief,umich-bhl-8667,bioghist,John B. Swainson Papers,"In January 1973, he was selected to serve as Deputy Chief Justice."
Chief,umich-bhl-86550,bioghist,Alexander G. Ruthven Papers,"Also, before assuming the presidency, Ruthven was chief field naturalist with the Michigan Geological and Biological Survey (1908-1912)."
Chief,umich-bhl-86393,bioghist,G. Mennen Williams Papers,"He headed a reform movement within the judiciary to make administration of justice ""effective and efficient."" He served so capably during his first term that he was easily re-elected in 1978 and was elected Chief Justice by his peers in April 1983."
Chief,umich-bhl-8868,bioghist,"Blanchard Family Papers, ca. 1835-ca. 2000","Blanchard then graduated from Dio Lewis's Normal Institute for Physical Education in 1863 and was a ""New Gymnastics"" instructor before becoming the editor-in-chief of the <title render=""italic"">Boston Daily Voice</title>."
Chief,No EAD ID,titleproper,the Shin-ga-ba-w'ossin [graphic] : a Chippeway chief / printed &amp; coloured at I. T. Bowen's lithographic establishment No. 94 Walnut St.,the Shin-ga-ba-w'ossin [graphic] : a Chippeway chief / printed &amp; coloured at I.
Chief,umich-bhl-8868,bioghist,"Blanchard Family Papers, ca. 1835-ca. 2000",By 1918 the USDA recognized his laboratory as the Bureau of Plant Industry's Division of Nematology and Cobb had become the government's chief nematologist.
Chief,umich-bhl-8667,scopecontent,John B. Swainson Papers,"Swainson collection consists of four subgroups of files: pre-gubernatorial (covering the period of 1943 to 1960), gubernatorial (covering his one-term, two-year tenure as the state's chief executive), post-gubernatorial (covering the years since he left the governor's office, 1963 to 1975), and visual materials."
Chief,No EAD ID,persnames,the Shin-ga-ba-w'ossin [graphic] : a Chippeway chief / printed &amp; coloured at I. T. Bowen's lithographic establishment No. 94 Walnut St.,"Bowen, John T., approximately 1801-1856?; Shingaba W'Ossin, Ojibwa Chief; Greenough, F."
Chief,umich-bhl-8868,bioghist,"Blanchard Family Papers, ca. 1835-ca. 2000","Although he briefly entertained a 1902 offer from James Wilson, Head of the United States Department of Agriculture (USDA), to become the Chief of the Bureau of Tropical Agriculture in Manila, Cobb elected to stay on with the NSW Department of Agriculture."
Chief,No EAD ID,persnames,the Black Hawk visual material collection.,"Black Hawk, Sauk chief, 1767-1838"
Chiefs,umich-bhl-8722,scopecontent,Board of Regents (University of Michigan) records,"By treaty, the chiefs, sachems, and warriors of four Indeginous nations, the Ottawa (Odawa), Ojibwe (Ojibwa, Chippewa), Wyandotte (Wyandot), and Potawatomi (Bodéwadmi, Potawatomie, Patawatima) ceeded the land northwest of the Ohio river to the United States of America."
Chiefs,umich-bhl-851588,scopecontent,"George Johnston letterbook, 1832-1860",Included are copies of letters from Chippewa Indian chiefs appealing to the President of the United States to honor its past treaties with the Indians.
Chiefs,umich-bhl-86143,bioghist,C. C. Trowbridge Papers,"In 1821, Secretary of War Calhoun appointed Trowbridge as Indian agent with responsibility of accompanying chiefs and representatives of the Six Nations of New York state to Green Bay for the purpose of finding suitable lands where the Six Nations might resettle."
Chiefs,umich-bhl-9940,scopecontent,"James J. Blanchard Papers, 1982-2002","During Blanchard's two terms in office, he was served by four Chiefs of Staff: F."
Chiefs,umich-bhl-9940,scopecontent,"James J. Blanchard Papers, 1982-2002","Given that the Blanchard administration was democratic and decidedly non-hierarchical, these Executive Assistants often filled roles similar to the Chiefs of Staff."
Chiefs,umich-bhl-85221,bioghist,Johnston Family Papers,"1843), the daughter of one of their chiefs, named Waubojeeg."
Chippewa,umich-bhl-2012101,bioghist,the John Christian Auch papers,"Genesee County is located on the ancestral land of the Ojibwe (Chippewa), Odawa (Ottawa) and Sauk people."
Chippewa,umich-bhl-87423,scopecontent,the American Baptist Missionary Union records,"Mills and includes a land grant dated January 1850 that details how the proceeds from the sale of lands along the Grand River (probably near Grand Rapids, Mich.) under the provisions of a treaty between the United States and the Ottawa and Chippewa Indians should be divided between Baptist and Catholic missionary interests, both of whom had developed missions in the area."
Chippewa,umich-bhl-93347,geognames,"Postcard collection, 1890s-[ongoing]","Ada (Mich.); Addison (Mich.); Adrian (Mich.); Ahmeek (Mich.); Akron (Mich.); Alba (Mich.); Albion (Calhoun County, Mich.); Alcona (Mich.); Alden (Mich.); Algonac (Mich.); Allegan (Mich.); Allendale (Mich.); Alma (Mich.); Alpena (Mich.); Ann Arbor (Mich.); Arcadia (Mich.); Askel (Mich.); Atlanta (Mich.); Au Sable River (Mich.); Au Train (Mich.); Auburn (Mich.); Augusta (Mich.); Bad Axe (Mich.); Baldwin (Mich.); Bangor (Mich.); Baraga (Mich.); Barron Lake (Mich.); Base Line Lake (Mich.); Battle Creek (Mich.); Bay City (Mich.); Bay View (Mich.); Beaver Island (Mich.); Beaverton (Mich.); Belding (Mich.); Bellaire (Mich.); Belleville (Mich.); Bellevue (Mich.); Bendon (Mich.); Benton Harbor (Mich.); Benzonia (Mich.); Berrien Springs (Mich.); Beulah (Mich.); Big Rapids (Mich.); Birmingham (Mich.); Blaney Park (Mich.); Blissfield (Mich.); Bloomfield Hills (Mich.); Bloomingdale (Mich.); Boblo Island Amusement Park (Ont.); Boyne City (Mich.); Boyne Falls (Mich.); Brevort (Mich.); Brighton (Mich.); Brooklyn (Mich.); Brown City (Mich.); Brutus (Mich.); Buchanan (Mich.); Buckley (Mich.); Bunker Hill (Mich.); Burt Lake (Mich.); Byron (Mich.); Cadillac (Mich.); Calcite (Mich.); Calderwood (Mich.); Caledonia (Mich.); Calumet (Mich.); Caro (Mich.); Capac (Mich.); Carp Lake (Mich.); Carson City (Mich.); Carsonville (Mich.); Caseville (Mich.); Casnovia (Mich.); Cass City (Mich.); Cassopolis (Mich.); Cedar (Mich.); Cedar Springs (Mich.); Cedarville (Mich.); Cement City (Mich.); Central Lake (Mich.); Centreville (Mich.); Charlevoix (Mich.); Charlotte (Mich.); Cheboygan (Mich.); Chelsea (Mich.); Chesaning (Mich.); Chippewa Lake (Mich.); Clare (Mich.); Clarklake (Mich.); Clarkston (Mich.); Clifton (Mich.); Clinton (Mich.); Clio (Mich.); Cloverdale (Mich.); Clyde (Mich.); Cohoctah (Mich.); Coldwater (Mich.); Coleman (Mich.); Coloma (Mich.); Colon (Mich.); Columbiaville (Mich.); Concord (Mich.); Constantine (Mich.); Conway (Mich.); Coopersville (Mich.); Copemish (Mich.); Copper Harbor (Mich.); Corunna (Mich.); Coryell (Mich.); Crooked River (Mich.); Cross Village (Mich.); Croswell (Mich.); Croton (Mich.); Crystal (Mich.); Crystal Falls (Mich.); Crystal Lake (Mich."
