Term,Occurrence (ead_ID),Tag,Collection,Context
Colonial,umich-bhl-8772,bioghist,"Luce Philippine Project interviews, 1975-1980","In 1977 the University of Michigan Center for South and Southeast Asia Studies received support from the Henry Luce Foundation for a three-year project on ""U.S.-Philippine Interactions as Reflected in Oral Histories."" One part of the grant-funded project was to provide monies to Michigan faculty and students undertaking oral history, both in the Philippines and among Filipinos and Americans with Philippine experience (former diplomats, teachers, missionaries, servicemen, colonial officials, etc.) in the United States."
Colonial,umich-bhl-851733,bioghist,Harry Burns Hutchins papers,"Mary Hutchins was a member of many organizations including the Daughters of the American Revolution, a Regent of the Sarah Caswell Angell Chapter, the National Committee for the American flag, the Michigan Chapter of Colonial Dames, the American Association of University Women (Ann Arbor branch), the Faculty Women’s Club, and a founding member of the Ann Arbor Women’s Club."
Colonial,umich-bhl-8868,scopecontent,"Blanchard Family Papers, ca. 1835-ca. 2000","The Blanchard Family Papers will be of value to researchers interested in a variety of topics: scientific endeavors and methodologies (and in particular those related to agronomy, nematology, botany, and herpetology); the visual arts and the development of photography in the late nineteenth and early twentieth centuries; colonial and provincial life in Australia and Hawaii (respectively); and the daily affairs of American (and Michigan) families throughout the twentieth century."
Colonial,umich-bhl-851764,abstract,"George A. Malcolm papers, 1896-1965","Correspondence, scrapbooks, printed reports, articles, and legal opinions, diplomas, citations, memorabilia, manuscript of book, 1956, entitled, ""Sunset of Colonialism: memoirs of an American Colonial Careerist"": decisions, 1909-1939, made while a jurist in the Philippines; copies of addresses and legal articles; and photographs."
Colonial,umich-bhl-85419,scopecontent,"Owen A. Tomlinson papers, 1899-1920","Within the Photograph series will be found six albums containing photos of Philippine Constabulary and U.S. Army personnel, and other colonial officials, Philippine people of the Mountain and Nueva Vizcaya provinces including Bontoc, Igorot, and Ifugao people, headhunter ceremony, travel in China, and a visit of Dean C."
Colonialism,umich-bhl-851764,abstract,"George A. Malcolm papers, 1896-1965","Correspondence, scrapbooks, printed reports, articles, and legal opinions, diplomas, citations, memorabilia, manuscript of book, 1956, entitled, ""Sunset of Colonialism: memoirs of an American Colonial Careerist"": decisions, 1909-1939, made while a jurist in the Philippines; copies of addresses and legal articles; and photographs."
Colonists,umich-bhl-86354,subjects,Dean C. Worcester Papers,Voyages and travels.; Americans; Anthropology.; Colonists.; Filipinos.; Soldiers; Spaniards; Warships.
Colonists,umich-bhl-851764,subjects,"George A. Malcolm papers, 1896-1965",Judges; Law.; Lawyers; Capitols; Colonists.; Judges
Colony,umich-bhl-8868,bioghist,"Blanchard Family Papers, ca. 1835-ca. 2000"," When the government of New South Wales (NSW) formed a Department of Agriculture in 1890, Cobb was appointed as the colony's first vegetable pathologist."
Commonwealth of the Philippines,umich-bhl-851764,bioghist,"George A. Malcolm papers, 1896-1965",He remained on the court as associate justice and presiding justice until the inauguration of the Commonwealth of the Philippines in 1935.
Commonwealth of the Philippines,umich-bhl-852085,abstract,"Manuel Luis Quezon papers, 1909-1944","President of the Commonwealth of the Philippines, 1935-1944; correspondence, memoranda, reports, speeches, articles, and other materials relating to his career, 1909-1944."
Commonwealth of the Philippines,umich-bhl-852085,bioghist,"Manuel Luis Quezon papers, 1909-1944"," Provincial fiscal of Mindoro, 1903-1906; Municipal Concilor of Tayabas, Tayabas, 1906 (Resigned to run as governor of Tayabas Province, 1906); Co-founder of the <title render=""italic"">Partido Independista Inmediata</title> 1906-1907; Governor of Tayabas Province, 1906; First assemblyman from Tayabas to the First Philippine Assembly, 1907; Resident Commissioner of the Philippines to the United States, 1909-1917 (re-elected 1911, 1913, 1915); President of the Senate, 1916-1935; First President of the Commonwealth of the Philippines, 1935-1941; of the Commonwealth government-in-exile (Washington, D.C., U.S.A.), 1941-1944."
Death,umich-bhl-85481,bioghist,Sligh Family Papers," With his death and worsening business conditions in the furniture industry, the Sligh Furniture Company floundered and failed."
Death,umich-bhl-85517,scopecontent,"Stanley M. Swinton papers, 1935-1985","The Stanley Swinton papers include correspondence; dispatch files; notebooks relating to the death of Mussolini, the Malayan insurgency in the late 1940s, and the Indonesian revolutions; notes of interviews with Seni Premot of Thailand, Norodom Sihanouk of Cambodia, Ho Chi-Minh of Vietnam, Konrad Adenauer of West Germany, Joao Goulart of Brazil, Ferdinand Marcos of the Philippines, and Kim Jong Pil of South Korea."
Death,umich-bhl-85548,bioghist,"George E. Bushnell papers, 1921-1965",Bushnell served full-time as Grand Commander until his death in 1965.
Death,umich-bhl-852085,scopecontent,"Manuel Luis Quezon papers, 1909-1944",The papers span the period beginning with Quezon's residence in Washington DC as Resident Commissioner and ending with his death in New York State during World War II.
Death,umich-bhl-0336,bioghist,"Grant Kohn Goodman papers, 1943-1995","Goodman worked as a professor of Japanese history at the University of Kansas (KU) for thirty years, retiring in 1989, though he continued working with KU in various capacities until his death in 2014."
Death,umich-bhl-851981,bioghist,"Interlochen Center for The Arts Records, 1927-2005","The tactic worked; the crisis passed, and amiable relations were restored (lasting until Giddings' death in 1954)."
Death,umich-bhl-851981,bioghist,"Interlochen Center for The Arts Records, 1927-2005","Almost immediately, Stone was appointed to the Board of Trustees, on which he remained a leading force for nearly two decades (becoming its chair upon Roscoe Bonisteel's death in July 1972)."
