"Collection","docname","Tag","pattern","from","to","pre","keyword","post"
"Beth Bashert Papers, 1988-2010","umich-bhl-04105_2","bioghist","gay",15,15,"In 1996 , she participated in the planning for a recreational center for the","gay",", lesbian , bi-sexual , transgender ( GLBT ) community to be called the Jane Addams Memorial Center ."
"Kathleen Russell papers, 1997-2006","umich-bhl-2009149_6","bioghist","gay",27,27,"the mid-1990s she was a member of the campus group Tri-Pride , which is an organization of social work students and professionals committed to empowering","gay",", lesbian , bisexual , and transgendered people ( GLBT ) ."
"Lesbian, Gay, Bisexual, and Transgender Community of Michigan Web Archive, 2010-2014","umich-bhl-2014025_13","subjects","gay",81,81,"; Parents of gays ; Parents of gays ; Religion . ; Runaway teenagers ; Same-sex marriage ; Social justice . ; Social work with","gay","youth ; Social work with lesbian youth ; Social work with transgender youth ; Transgender people ; Transgender people ; Transgender youth ; Women in"
"the Ross Chambers papers.","umich-bhl-2024013_24","scopecontent","gay",19,19,"Lectures , speeches , and notes are related to his work on AIDS ( particularly in relation to","gay","men ) , queer and LGBT + studies , and French ."
"Michael and Janice Neubecker Papers, 1996-2010","umich-bhl-2014052_25","bioghist","gay",49,49,"a positive parent or family member of an LGBT person , find common ground with other parents and learn how to be there for the","gay","person in their life ."
"the Dan Bessie collection","umich-bhl-0310_30","bioghist","gay",19,19,"Brown ( U-M Class of 1922 ) , and Richard ( Roddy ) Brandon were the three openly","gay","partners forming the Yale Puppeteers and who operated the Turnabout Theater in Hollywood ."
"the Lansing Association for Human Rights records","umich-bhl-9951_31","bioghist","gay",17,17,"From the beginning , LAHR has been focusing on coordinating local , state , and national","gay","and lesbian activities and activism ."
"Michigan Campaign for Human Dignity Records","umich-bhl-0099_32","abstract","gay",32,32,"files documenting the arguments and techniques used by both those promoting and opposing state ballot initiatives limiting protection of the civil rights of lesbians and","gay","males ."
"Michigan Campaign for Human Dignity Records","umich-bhl-0099_33","scopecontent","gay",23,23,"Affirmations Lesbian Gay Community Center , founded in 1988 , is a community based , direct service agency for the lesbian and","gay","community in southeastern Michigan ."
"Michigan Campaign for Human Dignity Records","umich-bhl-0099_34","bioghist","gay",29,29,"was "" to strategically defeat specific ballot measures which would jeopardize present and future equal rights for all Michigan's citizens , specifically the lesbian ,","gay","and bisexual citizens of this state . """
