"Var1","Var2","Freq"
"American Citizens for Justice records","colonial",0
"Arthur H. Vandenberg Papers, 1884-1974","colonial",0
"Arthur J. Lacy Papers","colonial",0
"Blanchard Family Papers, ca. 1835-ca. 2000","colonial",1
"Charles A. Sink Papers, 1900-1996","colonial",0
"Charles W. Lane papers, 1935-1997","colonial",0
"Chase S. Osborn Papers","colonial",0
"David Wheeler Palmer and family papers, 1807-1982","colonial",0
"Dean C. Worcester Papers","colonial",0
"Department of Afroamerican and African Studies (University of Michigan) records, 1966-2010 (bulk 1970-1994)","colonial",0
"Department of History (University of Michigan) Senior Honors Theses","colonial",0
"Dept. of History (University of Michigan) Student Papers, 1930-1987","colonial",0
"Donald Maxwell Matthews photographs, 1924-1982","colonial",0
"Earl D. Babst papers, 1899-1967","colonial",0
"Edmond DeVine papers","colonial",0
"Edward Gajec Papers","colonial",0
"Eleanor M. Bumgardner papers, 1919-1967","colonial",0
"Ethnic and Cultural Communities of Michigan Web Archive, 2010-2014","colonial",0
"Eugene Gressman papers, 1935-1967","colonial",0
"Frank Murphy Papers, 1908-1949","colonial",0
"Frank R. Kennedy Papers","colonial",0
"Fred E. Benz motion picture collection, 1929-1950","colonial",0
"George A. Malcolm papers, 1896-1965","colonial",0
"George E. Bushnell papers, 1921-1965","colonial",0
"George Owen Squier Papers, 1883-1934","colonial",0
"Grant Kohn Goodman papers, 1943-1995","colonial",0
"Harry Burns Hutchins papers","colonial",0
"Harry H. Bandholtz Papers, 1890-1937 (Microfilm Edition)","colonial",0
"Hinsdale family papers, 1857-1963","colonial",0
"Hubbell Family Papers, 1859-1983","colonial",0
"Interlochen Center for The Arts Records, 1927-2005","colonial",0
"Irene Ellis Murphy papers, 1917-1984","colonial",0
"Ivan F. Duff papers, 1947-1994","colonial",0
"Jacob Ellsworth Reighard Papers","colonial",0
"James J. Blanchard Papers, 1982-2002","colonial",0
"John A. Bobb Camp No. 45 (United Spanish War Veterans) records, 1919-1954","colonial",0
"John C. Early Papers","colonial",0
"John D. Dingell Papers","colonial",0
"Joseph Beal Steere Papers","colonial",0
"Joseph Ralston Hayden Papers","colonial",0
"Joseph Ralston Hayden Papers, 1899-1945 [microfilm]","colonial",0
"Josephine Fellows Gomon papers, 1913-1975","colonial",0
"Junius E. Beal Papers","colonial",0
"Luce Philippine Project interviews, 1975-1980","colonial",1
"Manuel Luis Quezon papers, 1909-1944","colonial",0
"Marion L. Burton Papers","colonial",0
"Media Resources Center (University of Michigan) Films and Videotapes, 1930s and 1948-1987","colonial",0
"Museum of Anthropological Archaeology (University of Michigan) Records, 1894-2011","colonial",0
